id	rate
45059	1.720
40099	12.894
28159	1.234
48215	0.000
45083	2.304
45085	1.734
41003	4.266
41009	35.898
47157	1.753
47161	2.040
17051	1.096
40033	5.216
47179	2.735
41041	25.751
41047	5.111
39001	12.156
41051	4.590
41061	4.694
39015	4.124
39017	3.618
45023	1.739
39021	3.613
39023	2.725
39031	5.262
39039	3.419
28011	1.344
39051	12.334
39057	3.764
39059	4.912
39061	2.339
39063	12.556
18145	8.328
39069	14.577
39071	0.000
34035	6.169
39085	8.302
17191	0.000
39091	3.763
39093	4.477
45015	1.823
39099	3.347
39109	4.982
42017	6.223
39113	2.244
45091	1.246
22001	2.809
39135	0.000
28027	1.164
17105	2.631
48167	2.632
40107	1.676
47147	3.637
48223	1.810
34031	6.582
41005	6.629
40041	6.630
41013	5.324
19169	6.514
40111	1.919
27037	5.826
41029	5.663
47001	3.449
48201	2.474
13313	3.200
17149	0.000
40019	2.920
48029	1.690
12019	2.642
48231	2.414
21001	7.130
21003	3.466
21005	8.294
21007	3.261
21009	3.250
21011	5.050
21013	5.386
21015	3.031
21017	1.406
21019	1.764
21021	2.609
21025	7.094
21027	5.635
21029	17.160
21031	2.237
21033	3.761
18183	9.081
21037	5.783
21041	8.416
21043	15.533
21045	2.536
21047	1.701
21049	1.943
21051	0.646
21053	14.396
21059	3.882
19013	3.177
40037	8.794
28091	1.606
13073	2.009
17001	6.303
17005	10.973
17007	6.277
17011	21.604
17015	4.483
17019	5.938
17021	1.414
17023	0.000
17025	0.000
17027	1.941
17029	6.047
17031	3.603
17033	0.423
17035	0.000
17037	8.900
17041	10.261
17045	0.000
17049	33.243
17055	22.371
17057	1.246
17061	0.000
19049	9.520
17065	0.000
17067	0.000
13085	33.064
17073	9.321
17075	16.606
17077	4.248
17081	3.424
17083	10.218
17087	0.000
17089	9.936
17091	4.739
17093	4.026
17095	3.434
17097	8.960
17101	0.135
17103	0.791
19153	4.925
17107	1.063
17109	4.198
17111	9.434
17113	7.178
17115	3.689
17117	18.443
17119	4.633
17121	5.252
17123	57.158
17125	1.568
17127	1.772
17129	0.000
17131	25.782
17133	306.581
17135	0.590
17137	2.055
17139	10.047
17141	15.466
17143	3.670
17145	0.454
17157	1.446
13063	1.305
13067	2.230
17165	3.474
17167	5.223
17169	0.000
17173	5.498
17177	5.300
17179	5.341
17181	1.019
40063	1.056
17187	0.000
48241	1.633
17193	6.806
17195	8.327
17197	4.029
17199	3.198
17201	4.419
17203	23.884
28127	1.230
13151	1.620
13153	2.120
13167	1.747
48277	0.809
48001	1.115
13187	2.416
48007	10.445
48013	11.577
48021	2.346
48027	1.679
48037	1.685
48039	3.203
48055	1.052
48057	0.000
48061	0.000
22005	2.418
40097	3.706
48085	2.668
40101	2.449
40035	0.000
48113	1.985
40133	2.645
40065	6.698
48139	3.082
48147	1.482
40113	1.151
48181	0.613
48183	1.410
48187	1.258
42045	1.353
48203	3.747
40017	5.955
42071	5.912
48217	1.561
48219	2.650
40031	2.668
40039	3.084
40047	3.161
40049	4.778
40051	1.957
48245	0.826
40055	0.708
48251	3.551
40061	4.831
