id	rate
40965	0.803
80215	1.022
45069	1.045
61101	0.912
98328	0.000
22553	1.012
24605	1.079
71720	1.647
41001	1.691
43050	0.236
73772	1.429
41005	0.970
43055	1.313
71730	0.927
41011	0.850
41016	1.942
43065	1.750
73055	0.000
98366	1.037
84032	1.079
98370	0.535
49221	1.278
43078	0.923
84321	0.996
22602	0.980
24651	1.112
77901	0.956
59405	1.050
41042	0.876
22201	0.972
84088	1.021
41051	0.920
45150	0.923
80229	0.845
41056	1.684
49250	0.000
84070	1.109
98409	0.897
84074	0.959
84078	0.963
41073	1.424
45176	1.000
43130	1.067
24701	0.931
43138	0.979
43140	0.984
26757	1.287
22664	1.466
84107	1.009
54220	1.391
41101	0.658
71822	0.803
75088	0.944
80020	0.843
37015	1.356
71832	0.845
72730	0.869
45214	0.833
98272	1.205
71852	1.355
37040	1.335
37043	1.022
63670	1.196
45239	1.723
45240	0.880
37050	1.356
49341	1.097
45246	0.925
37055	0.909
98499	1.041
73078	0.000
98502	1.101
37064	0.995
51401	0.923
37066	0.947
43215	0.815
43223	0.968
71901	0.902
43231	0.436
37091	1.068
80110	0.916
80111	0.724
80112	0.995
84025	1.180
80124	1.009
45309	0.383
76033	1.004
53508	3.800
76502	1.015
67846	1.392
37129	1.211
37130	0.858
45323	1.333
45324	0.857
45103	0.997
45342	1.252
49440	1.636
58075	0.650
43302	1.019
72753	0.873
67880	0.000
57641	1.214
51501	1.532
43311	1.229
22835	0.940
45365	1.130
53558	1.006
49464	1.249
72756	1.034
98626	1.270
24901	0.950
76102	0.891
72007	1.452
45385	0.927
48183	1.931
80204	0.957
72015	0.865
37201	0.952
74066	0.976
48185	1.023
72024	0.871
45402	0.755
49503	0.989
72032	0.877
29072	0.828
80226	0.968
75126	0.986
57701	0.959
72764	1.093
52627	1.196
29045	0.601
22902	1.045
74103	1.091
98368	1.294
29063	1.018
35216	0.939
70037	0.995
29078	1.361
64106	0.888
81647	0.000
84037	1.000
98040	1.124
22949	1.031
72104	0.379
76205	0.843
84401	0.840
72114	0.857
22963	1.064
29108	1.035
37301	0.000
37303	0.804
72120	0.818
43450	9.000
37310	1.583
43460	0.963
37318	0.467
53703	0.893
37324	1.080
68046	1.113
53713	0.881
29138	0.868
29150	0.800
68005	1.014
29153	1.060
97361	0.450
37355	0.945
66030	0.815
25071	0.802
66040	2.043
66043	0.975
66044	0.971
59901	0.717
23040	1.011
43526	1.500
84737	0.818
72201	0.850
97367	1.003
37388	0.882
49677	0.487
80301	0.780
29201	0.725
66067	1.600
23061	1.156
29206	1.095
64601	0.912
43545	1.376
37402	0.993
23069	1.078
98848	0.827
84513	1.180
43558	0.000
29223	1.037
49707	0.619
43567	1.464
66101	0.900
25143	0.948
49720	1.139
49721	0.751
48847	1.179
45631	0.822
80452	1.044
45640	2.460
98402	1.045
76367	0.000
43604	0.847
81650	0.000
45662	0.715
43619	0.916
39530	0.966
98926	1.230
45502	1.256
64118	0.915
29303	1.023
29306	0.811
98942	1.655
44212	1.057
45701	1.349
98953	0.875
98155	0.851
29325	0.968
23187	1.081
80534	0.000
53913	1.510
66202	1.058
66206	0.981
53922	0.906
66215	0.816
49837	0.745
29360	0.933
23219	1.034
84660	1.978
74429	0.834
98225	0.963
52342	2.114
29385	0.503
99019	0.000
49868	1.119
72401	0.999
68310	1.035
80601	0.989
29403	1.034
29405	0.926
58078	1.010
37601	0.991
29410	1.128
37617	1.774
45810	0.848
37620	0.706
58102	0.920
80631	1.053
45822	5.023
29440	0.882
54017	1.248
84741	2.250
37643	0.778
53014	0.632
29461	1.163
29464	0.987
23322	1.012
37660	0.934
29829	0.929
23336	0.822
37398	1.398
29483	1.112
99122	0.733
52361	1.278
29501	0.820
29511	0.984
29512	0.924
80012	0.857
67042	1.041
80720	1.146
68434	0.836
37716	0.936
25430	1.097
50010	0.971
58854	0.833
37738	0.505
29550	0.916
80751	0.664
29555	1.598
23417	0.303
72576	0.983
66434	1.513
52404	0.889
29577	1.013
23434	0.988
84119	1.011
29582	0.996
80501	0.924
48017	1.020
48021	0.911
76701	1.338
48030	1.193
23456	0.920
29601	0.921
48036	1.022
80807	0.632
72616	4.333
37801	0.918
48043	0.948
37804	1.451
43950	1.378
48047	0.666
43952	0.993
29624	0.843
70586	0.906
48060	1.212
29630	1.500
83445	1.943
48066	1.009
48067	0.850
48069	0.985
29639	0.619
48072	1.133
48076	1.146
72653	0.000
48081	1.116
29650	0.818
50131	0.904
48084	0.924
23510	0.963
70615	1.244
48093	0.870
37861	0.000
37862	1.620
29671	0.755
48104	0.956
48105	1.048
66538	2.625
48118	1.157
48122	1.068
72701	0.805
48126	1.339
44035	1.236
80903	0.952
99336	0.885
29706	1.156
48141	0.816
52240	0.849
52241	0.991
48146	1.047
99347	0.494
97301	0.983
99350	1.412
29720	0.898
48154	1.092
54301	0.889
29730	1.001
48170	1.172
66603	0.998
48174	0.925
48176	0.774
29745	1.068
41139	0.000
48180	1.171
23605	0.906
42038	0.000
24073	0.834
48184	0.909
42041	0.960
44092	0.711
42050	2.667
48197	0.885
72204	1.230
66061	1.048
42064	1.417
44113	0.970
74834	0.811
42071	0.416
44121	1.304
44123	0.683
72801	0.705
48226	1.055
25701	1.337
80401	0.942
75189	0.993
74859	0.645
44141	0.000
40047	2.750
29810	0.694
29812	1.183
23669	0.911
38006	0.994
38008	1.045
40059	0.500
38012	1.237
85119	0.858
38017	0.985
38019	1.201
74884	0.748
40069	0.000
29831	1.852
50313	0.957
72846	0.000
42129	0.000
50324	0.985
72853	0.000
66713	1.116
23707	0.912
97477	0.844
67330	0.000
41501	1.333
42164	1.528
66743	1.190
48313	1.124
58554	1.530
58561	0.000
72901	0.810
66763	2.000
29902	1.026
48335	0.944
74960	0.888
48341	0.851
38103	0.905
40143	1.462
97501	1.115
97502	0.777
50401	1.029
29924	1.296
40165	0.692
29936	0.681
68850	0.469
38133	0.993
48375	0.739
72956	1.036
42240	1.605
83201	0.535
48386	0.776
75013	0.614
19720	0.924
40202	0.849
75021	0.890
44308	0.862
42261	0.000
58646	0.000
40216	1.291
75652	0.748
75034	0.755
50459	1.565
48413	1.880
64801	0.886
48428	0.000
85296	0.981
48433	0.869
73010	1.823
23860	0.834
37087	1.007
75071	0.917
48455	2.240
23883	0.958
83276	1.381
58702	0.981
50511	2.680
42320	0.802
38225	1.140
54614	1.462
19801	0.892
75098	0.920
73052	1.716
23901	1.009
71006	0.808
54501	1.025
58722	0.000
42345	0.704
84404	0.985
38255	0.489
38257	0.977
73075	0.958
85364	1.049
48502	0.970
73080	1.159
54603	1.090
83330	1.386
75146	0.848
44430	1.105
26003	1.166
81301	0.731
44444	1.028
38301	0.970
52641	0.874
72949	0.000
97701	0.869
44460	1.697
52655	0.918
42420	0.921
50613	1.103
26038	1.556
26041	0.902
38330	1.226
71101	1.181
50309	0.943
70560	0.923
44483	0.833
75205	0.621
38342	1.000
38351	1.106
24016	0.994
42450	1.347
24019	1.004
26070	0.808
44503	0.831
48602	1.081
67037	0.662
44514	2.290
44515	1.139
50662	0.549
98661	0.918
48617	1.175
67052	1.394
77957	0.720
48623	0.836
48624	1.782
50677	0.000
81416	0.000
19977	0.998
22026	0.894
22030	1.007
50703	0.972
69138	1.634
52761	1.208
24090	1.298
40475	0.807
54812	1.006
69153	0.000
80134	0.735
71601	0.798
83501	1.215
81501	0.917
24112	1.035
67124	1.066
71222	1.167
98569	1.500
97850	0.913
40507	0.918
38462	0.794
52801	0.951
44615	1.602
49420	2.481
24141	1.053
98198	0.890
67152	1.106
49080	0.964
48723	0.234
24153	1.016
72634	2.309
48740	1.303
38501	1.103
38506	1.221
24171	0.995
71282	1.201
81003	1.188
24060	1.085
54911	0.948
67202	0.950
59011	1.040
24201	0.873
20110	0.966
23832	1.056
54935	0.997
24216	0.000
44705	1.010
48813	1.176
22192	0.847
83638	2.757
38583	0.752
83642	0.961
54971	1.280
59068	0.000
49781	5.083
57025	1.667
83651	1.185
48836	0.000
71366	1.439
29644	1.129
48843	1.117
20175	1.119
98003	1.006
20186	0.994
69343	1.069
73446	1.134
69357	5.000
48879	0.715
98032	0.896
98033	0.931
45011	1.031
83704	0.884
24315	1.378
48895	0.000
42754	0.935
44805	1.841
68801	1.120
77581	0.970
57104	1.021
67203	0.885
98022	0.623
50525	0.000
51503	0.949
67356	0.000
22304	0.950
48933	1.126
73521	0.903
71646	1.038
58505	1.000
64029	1.361
73533	1.005
24382	0.862
49461	1.121
44870	0.925
44875	1.232
67410	2.172
79101	0.948
99301	1.044
51040	0.000
51041	1.000
73573	1.125
67432	0.575
70631	1.556
48823	1.061
49014	1.231
67456	0.990
83843	0.768
